ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Excerpt,Number-Of-Pages,Publish-Places,Tags
0060096101,The Princess Diaries,Meg Cabot,2004,Harpercollins,http://images.amazon.com/images/P/0060096101.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060096101.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060096101.01.LZZZZZZZ.jpg,,256,['[New York]'],"['Proms', 'Juvenile Fiction', 'Diaries', 'Schools', 'High Schools', 'Fiction', 'Princesses', 'Humorous Fiction', 'Humorous Stories', 'Large Type Books', 'Childrens Fiction', 'New York (N.Y.)', 'High Schools-Fiction']"
2258036429,Calvin And Hobbes,Bill Watterson,2002,Distribooks,http://images.amazon.com/images/P/2258036429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2258036429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2258036429.01.LZZZZZZZ.jpg,,63,[],[]
0679642595,Prayer For Owen Meany,John Irving,2002,Modern Library,http://images.amazon.com/images/P/0679642595.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679642595.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679642595.01.LZZZZZZZ.jpg,,641,['New York'],"['Predestination', 'Pres Naturels', 'Fiction', 'Roman Amricain', 'Prdestination', 'American Fiction', 'New Hampshire', 'General', 'Vietnam War', 'Romans', 'Nouvelles', '1961-1975', 'Englisch', 'Accessible Book', 'Religious Fiction', 'Mothers', 'Death', 'Birthfathers', 'Protected Daisy', 'Roman', 'Belief And Doubt', 'Friendship', 'United States', 'Amiti Masculine', 'Psychological', 'Croyance Et Doute', 'Male Friendship']"
0694524476,Alchemist,Paulo Coelho,2001,Harperaudio,http://images.amazon.com/images/P/0694524476.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0694524476.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0694524476.01.LZZZZZZZ.jpg,,0,[],"['Andaluca (Espaa)', 'Thai Fiction', 'Fiction', 'Large Type Books', 'Portuguese Fiction', 'General', 'Shepherds', 'Fables', 'Pastores', 'Powiex85 Brazylijska', 'Self-Realization', 'Reading Materials', 'Fiction / Literary', 'Literary', 'Alquimistas', 'Voyages And Travels', 'Alchemy', 'Fantasy', 'Mexican Literature', 'Alchemists', 'Quests (Expeditions)', 'Tx85Umaczenia Polskie', 'Body', 'Mind  Spirit', 'Spirituality', 'Alquimia', 'Spain', 'Young Men', 'French Language', 'Novela', 'Expeditions']"
0743529782,Lucky,Alice Sebold,2003,Simon  Schuster Audio,http://images.amazon.com/images/P/0743529782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743529782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743529782.01.LZZZZZZZ.jpg,,0,[],"['Victimes De Viol', 'Biography', 'Rape', 'Tudes De', 'Cas', 'Trials (Rape)', 'Case Studies', 'United States', 'Rape Victims', 'Rape Trauma Syndrome', 'Procs (Viol)', 'Trials']"
0809224895,Home Sanctuary : Practical Ways To Create A Spiritually Fulfilling Environment,Nicole Marcelis,2000,Mcgraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809224895.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809224895.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809224895.01.LZZZZZZZ.jpg,,259,"['Lincolnwood, Ill']","['Religious Aspects', 'Home', 'Spiritual Life']"
0439358078,Harry Potter And The Order Of The Phoenix (Book 5),J. K. Rowling,2004,Scholastic Paperbacks,http://images.amazon.com/images/P/0439358078.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439358078.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439358078.01.LZZZZZZZ.jpg,"The Hottest Day Of The Summer So Far Was Drawing To A Close And A Drowsy Silence Lay Over The Large, Square Houses Of Privet Drive.",870,['New York'],"['Acuteecoles', 'Lebensgefahr', 'Novela Inglesa', 'Magiciens', 'Juvenile Fiction', 'Witches', 'Juvenile Literature', 'School Stories', 'Novela Juvenil', 'Spanish Language', 'Fiction', 'Wizards In Fiction', 'Boarding Schools', 'England In Fiction', 'Coles', 'Large Type Books', 'Magic', 'Family', 'Das Bse', 'Magia', 'Juvenile Audience', 'Nouvelles', 'Romans', 'Magic In Fiction', 'Hate', 'Magic - Fiction', 'General', 'Auenseiter', 'Escuelas', 'Social Themes', 'Potter', 'Magos', 'Reading Materials', 'Childrens Fiction', 'Witchcraft', 'Weissagung', 'Sorciaeres', 'Parapsychology', 'Schools - Fiction', 'Conduct Of Life', 'Imaginrer Schauplatz', 'Schler', 'Sorcires', 'Das Gute', 'Coming Of Age', 'Friendship', 'Magier', 'Fantasy  Magic', 'Rollentausch', 'Jugendgruppe', 'Internat', 'Wizards', 'Fantasy', 'Magie', 'Sorciers', 'Telepathie', 'England', 'Juvenile Works', 'Schools', 'Novela Fantstica', 'Junge', 'Existenzkampf', 'Freundschaft', 'Fabeltiere', 'Military Aspects', 'Lebensrettung', 'Schools In Fiction', 'Dueling', 'Fantasy Fiction', 'Childrens Stories', 'English Literature', 'Youth', 'Ficcin Juvenil', 'Witches And Warlocks']"
0785312145,Prairie Dog At Home On The Range (Leap Frog Nature Books),Sarah Toast,1995,New Seasons,http://images.amazon.com/images/P/0785312145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0785312145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0785312145.01.LZZZZZZZ.jpg,,16,"['[Lincolnwood, Ill.]']",['Prairie Dogs']
0312422156,Middlesex,Jeffrey Eugenides,2003,Picador,http://images.amazon.com/images/P/0312422156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312422156.01.LZZZZZZZ.jpg,,529,['New York'],"['Adolescentes', 'Griechische Familie', 'Zwitter', 'Greek World', 'Fiction', 'Large Type Books', 'Mutation (Biology)', 'Bildungsromans', 'Teenagers', 'General', 'Nouvelles', 'Romans', 'Identittsfindung', 'Suburban Life', 'Transgender Persons', 'Lgbtq Novels', 'Greek Americans', 'Domestic Fiction', 'Coming Of Age', 'Einwanderer', 'Teenage Girls', 'Hermaphrodites', 'Hermaphroditism', 'Gender Identity', 'Modern Literature', 'Opensyllabusproject', 'Detroit (Mich.)', 'City And Town Life', 'Intersexuality', 'Family Life']"
0515068594,Sweet Surrender (Second Chance At Love),Diana Mars,1984,Jove Books,http://images.amazon.com/images/P/0515068594.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515068594.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515068594.01.LZZZZZZZ.jpg,,192,[],[]
0156028352,Color Purple,Alice Walker,2003,Harvest Books,http://images.amazon.com/images/P/0156028352.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156028352.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156028352.01.LZZZZZZZ.jpg,I Am Fourteen Years Old.,288,['Orlando'],"['1000Blackgirlbooks', 'African Americans', 'Lesbian Fiction', 'Fiction', 'Large Type Books', 'Roman Espagnol', 'Abused Wives', 'Southern States', 'African American', 'Epistolary Fiction', 'American Fiction', 'Imprims Espagnols', 'General', 'Nouvelles', 'Romans', 'Vrouwenemancipatie', 'Spanish Imprints', 'Social Conditions', 'Lgbtq Novels', 'American Literature', 'Domestic Fiction', 'Language Readers', 'Racisme', 'Sisters', 'Lesbians', 'Noires', 'Opensyllabusproject', 'Songs And Music', 'Fiction  Literature', 'Historical Fiction', 'Spanish Fiction', 'Blacks', 'Noires Amricaines', 'Family Life']"
1559276452,The Red Tent,Anita Diamant,2001,Audio Renaissance,http://images.amazon.com/images/P/1559276452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559276452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1559276452.01.LZZZZZZZ.jpg,,0,[],"['General', 'Women In The Bible', 'Religious', 'Bible', 'Fiction', 'Christian', 'Religious Fiction', 'Large Type Books']"
0805063897,Nickel And Dimed: On (Not) Getting By In America,Barbara Ehrenreich,2002,Owl Books,http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg,,0,[],"['Px85Ace Minimalne', 'Poor', 'Prekariat', 'Secteur Tertiaire', 'Unskilled Labor', 'Labor', 'Ongeschoolde Arbeid', 'Soziale Frage', 'Armut', 'Niedrigeinkommen', 'Armoede', 'Praca Fizyczna', 'Document', 'Sociale Situatie', 'Travail', 'Femme', 'Working Poor', 'Working Class', 'United States', 'Erlebnisbericht', 'Poverty', 'Immigrants', 'Minimum Wage', 'Ubstwo', 'Bas Salaire', 'Niedriglohn', 'Frauenarbeit']"
9506440298,Fahrenheit 451,Ray Bradbury,2003,"Plaza  Janes Editores, S.A.",http://images.amazon.com/images/P/9506440298.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9506440298.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9506440298.01.LZZZZZZZ.jpg,It Was A Pleasure To Burn.,175,[],"['Totalitarismo', 'Fiction', 'Autodaf De Livres', 'Large Type Books', 'Fictional Works', 'General', 'Nouvelles', 'Romans', 'Terrorismo Estatal', 'Political Fiction', 'Censorship', 'Science Fiction', 'American Literature', 'Totalitarianisms', 'Drama', 'Book Burning', 'Zukunft', 'Award:Retrohugo', 'Totalitarianism', 'Censura', 'Terrorism', 'Dystopian', 'Political', 'Totalitarisme', 'Satire', 'Girl Next Door', 'Mechanical Hound', 'Novela', 'Bcherverbrennung', 'Terrorisme Dtat', 'Terrorismo']"
0312983867,Hard Eight,Janet Evanovich,2003,St. Martins Paperbacks,http://images.amazon.com/images/P/0312983867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983867.01.LZZZZZZZ.jpg,,341,['New York'],"['Women Bounty Hunters', 'Bounty Hunters', 'Mystery  Detective', 'Fiction', 'Mystery Fiction', 'Trenton (N.J.)', 'Large Type Books', 'Missing Children', 'Women Sleuths', 'Plum', 'New Jersey']"
1853261394,Anne Of Green Gables,L.M. Montgomery,1999,Ntc/Contemporary Publishing Company,http://images.amazon.com/images/P/1853261394.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853261394.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853261394.01.LZZZZZZZ.jpg,,352,[],"['Canada', 'Juvenile Fiction', 'Shirley', 'Anne', 'Korean', 'Prince Edward Island', 'Perception De Soi', 'Fiction', 'Orphans', 'Self-Perception', 'French', 'Large Type Books', 'Orphanages', 'Bildungsromans', 'Teachers', 'Adolescence', 'Canadian Fiction', 'Nouvelles', 'Romans', 'Sale Books', 'Spanish', 'Teaching', 'Childrens Fiction', 'American Literature', 'Vie Rurale', 'Chang Pian Xiao Shuo', 'Action  Adventure', 'Amiti', 'English Language', 'Orphelins', 'Country Life', 'Foster Home Care', 'Classics', 'Girls', 'Coming Of Age', 'Er Tong Wen Xue', 'Friendship', 'Nova Scotia', 'Suo Xie', 'Readers', 'Classic Fiction', 'History', 'Literature: Classics', 'Islands', 'Orphelines', 'Children: Grades 3-4', 'Literature', 'Farm Life', 'Imagination', 'Childrens Stories', 'English Literature', 'Children: Grades 4-6', 'Dictionaries']"
3548256279,1984,George Orwell,2003,Ullstein Tb,http://images.amazon.com/images/P/3548256279.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3548256279.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3548256279.01.LZZZZZZZ.jpg,"It Was A Bright Cold Day In April, And The Clocks Were Striking Thirteen.",0,[],"['Futurology', 'Novela Inglesa', 'Perpetual War', 'Totalitarismo', 'Dystopias', 'Fiction', 'Middle Aged Men', 'Resistance Movements', 'Ficcin', 'Telescreens', 'Ingsoc', 'General', 'Nouvelles', 'Romans', 'Sting Operations', 'Satirical Literature', 'Political Fiction', 'Distopas', 'Censorship', 'Suburban Life', 'Science Fiction', 'Accessible Book', 'Brainwashing', 'Authoritarianism', 'Cult Of Personality', 'Drama', 'Newspeak', 'Surveillance', 'Classic Literature', 'Political Science', 'Dystopian Plays', 'Novela Poltica', 'English Fiction', 'Correspondence', 'Contemporary Fiction', 'Fiction Classics', 'Classics', 'Zukunft', 'Historical', 'Totalitarianism', 'Politique', 'Outer Party', 'Insurance Agents', 'Ciencia-Ficcin', 'Polizeistaat', 'Political', 'Totalitarisme', 'Husbands', 'Dystopian', 'Thoughtcrime', 'Facsimiles', 'Satire', 'Journalists', 'Literature', 'Opensyllabusproject', 'Manuscripts', 'Novela', 'English Literature', 'Memory Holes', 'English Authors', 'Novelas Inglesas', 'London (England)', 'Rebels']"
0761954325,"Representation: Cultural Representations And Signifying Practices (Culture, Media And Identities , Vol 2)",Stuart Hall,1997,Sage Publications,http://images.amazon.com/images/P/0761954325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0761954325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0761954325.01.LZZZZZZZ.jpg,,400,"['London', 'Thousand Oaks, Calif']",['Culture']
037570440X,Memoirs Of A Geisha,Arthur Golden,1999,Random House (P),http://images.amazon.com/images/P/037570440X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037570440X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037570440X.01.LZZZZZZZ.jpg,,0,[],[]
1594130027,Harry Potter And The Prisoner Of Azkaban,J. K. Rowling,2003,Large Print Press,http://images.amazon.com/images/P/1594130027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594130027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594130027.01.LZZZZZZZ.jpg,Harry Potter Was A Highly Unusual Boy In Many Ways.,591,"['Waterville, ME, USA']","['Rache', 'Magiciens', 'Verrat', 'Juvenile Fiction', 'Witches', 'Lge', 'Juvenile Literature', 'School Stories', 'Spanish Language', 'Novela Juvenil', 'Fiction', 'Orphans', 'Boarding Schools', 'Large Type Books', 'Magic', 'Family', 'Magia', 'Juvenile Audience', 'General', 'Schulferien', 'Romans', 'Nouvelles', 'Locus Award Winner', 'Escuelas', 'Social Themes', 'Science Fiction', 'Magos', 'Potter', 'Reading Materials', 'Adventure', 'Chinese Fiction', 'Childrens Fiction', 'Juvenile Films', 'Friendship', 'Fantasy  Magic', 'Jugendgruppe', 'Children Stories', 'Childrens Books', 'Wizards', 'Fantasy', 'Spanish: Grades 4-7', 'Literatura Juvenil', 'Magie', 'Deutschland', 'England', 'Juvenile Works', 'Foster Homes', 'Schools', 'Junge', 'Freundschaft', 'Literature', 'Fabeltiere', 'Fantasy Fiction', 'English Literature', 'Good And Evil', 'Ficcin Juvenil', 'Hechiceros', 'Tong Hua']"
043955490X,Harry Potter And The Goblet Of Fire,J. K. Rowling,2003,Arthur A. Levine Books,http://images.amazon.com/images/P/043955490X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/043955490X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/043955490X.01.LZZZZZZZ.jpg,"The Villagers Of Little Hangleton Still Called It The Riddle House, Even Though It Had Been Many Years Since The Riddle Family Had Lived There.",752,[],"['Juvenile Fiction', 'Mord', 'Juvenile Literature', 'English', 'Bewhrung', 'School Stories', 'Novela Juvenil', 'Fiction', 'Orphans', 'Coles', 'Large Type Books', 'Magic', 'Family', 'Magia', 'Ficcin', 'Juvenile Audience', 'Nouvelles', 'Novelas Inglesas', 'Romans', 'Escuelas', 'Social Themes', 'Magos', 'Potter', 'Reading Materials', 'Chinese Fiction', 'Award:Hugoawardnovel', 'Waisenkind', 'Childrens Fiction', 'Drama', 'Wiederbelebung', 'Juvenile Films', 'Action  Adventure', 'Sorcellerie', 'Friendship', 'Hugo Award', 'Jugendbuch', 'Wettkampf', 'Magier', 'Fantasy  Magic', 'Inglaterra', 'Intrige', 'Wizards', 'Film Adaptations', 'Fantasy', 'Sorciers', 'England', 'Hugo Award Winner', 'Juvenile Works', 'Award:Hugoaward2001', 'Foster Homes', 'Schools', 'Junge', 'Magi', 'Sport', 'School', 'Childrens Stories', 'Fantasy Fiction', 'English Literature', 'French Language', 'Fictitious Schools', 'Ficcin Juvenil', 'Hechiceros', 'Rettung']"
3453185676,Dune,Frank Herbert,2001,Heyne,http://images.amazon.com/images/P/3453185676.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3453185676.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3453185676.01.LZZZZZZZ.jpg,,872,[],"['General', 'Award:Hugoaward1966', 'Science Fiction', 'Fiction', 'American Literature', 'Award:Hugoawardnovel', 'Science-Fiction', 'Hugo Award Winner']"
0786880570,Screenwriters On Screen-Writing,Joel Engel,1995,Hyperion,http://images.amazon.com/images/P/0786880570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786880570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786880570.01.LZZZZZZZ.jpg,,298,['New York'],"['Interviews', 'Screenwriters']"
0440503582,"In A Word: A Dictionary Of Words That Dont Exist, But Ought To",Jack Hitt,1992,Bantam Dell Pub Group,http://images.amazon.com/images/P/0440503582.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440503582.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440503582.01.LZZZZZZZ.jpg,,215,['New York'],"['English Language', 'Etymology']"
0553381547,Prince Of Tides,Pat Conroy,2002,Bantam,http://images.amazon.com/images/P/0553381547.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553381547.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553381547.01.LZZZZZZZ.jpg,,679,['New York'],"['General', 'Juvenile Fiction', 'Fiction', 'Brothers And Sisters', 'Large Type Books', 'Domestic Fiction', 'New York (N.Y.)', 'Twins', 'South Carolina', 'Family Life']"
0809598949,Jane Eyre,Charlotte Bronte,2004,Wildside Press,http://images.amazon.com/images/P/0809598949.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809598949.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809598949.01.LZZZZZZZ.jpg,,0,[],[]
0060512822,The Poisonwood Bible,Barbara Kingsolver,2003,Harpertorch,http://images.amazon.com/images/P/0060512822.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060512822.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060512822.01.LZZZZZZZ.jpg,Imagine A Ruin So Strange It Must Never Have Happened.,672,[],"['Evangelical Mission', 'Christian Families', 'Fiction', 'Americans In Congo', 'Large Type Books', 'Family', 'Religious Fanatics', 'Culture Conflict', 'General', 'Americans', 'Literary', 'Missionaries', 'Lierary Fiction', 'War Of Independence', 'Racism', 'Colonialism', 'Historical', 'Americans In Africa', 'Postcolonial Africa', 'Families', 'History', 'Baptists', 'Political', 'Africa', 'Literature', 'Opensyllabusproject', 'Historical Fiction', 'Murder']"
0439554896,Harry Potter And The Chamber Of Secrets,J. K. Rowling,2003,Arthur A. Levine Books,http://images.amazon.com/images/P/0439554896.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439554896.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439554896.01.LZZZZZZZ.jpg,"Not For The First Time, An Argument Had Broken Out Over Breakfast At Number Four, Privet Drive.",352,[],"['Lebensgefahr', 'England -- Fiction', 'Magiciens', 'Juvenile Fiction', 'Witches', 'English', 'School Stories', 'Novela Juvenil', 'Fiction', 'Orphans', 'Coles', 'Large Type Books', 'Magic', 'Family', 'Das Bse', 'Aunts', 'Magia', 'Juvenile', 'List', 'General', 'Nouvelles', 'Engels', 'Romans', 'Escuelas', 'Social Themes', 'Wizards Fiction', 'Kampf', 'Schule', 'Magos', 'Potter', 'Basilisk (Fabeltier)', 'Social Issues', 'Chinese Fiction', 'Childrens Fiction', 'Witches Fiction', 'England Fiction', 'Witchcraft', 'Wizards -- Fiction', 'Action  Adventure', 'Maga', 'Ncromancie', 'Magic -- Fiction', 'Das Gute', 'Schools Fiction', 'Friendship', 'Magier', 'Fantasy  Magic', 'Jugendbuch', 'Internat', 'Wizards', 'Uncles', 'Fantasy', 'Phnix', 'Magie', 'Sieg', 'Basilisk', 'England', 'Deutschland', 'Schools', 'Novela Fantstica', 'Junge', 'Cousins', 'Lebensrettung', 'Fantasy Fiction', 'Childrens Stories', 'English Literature', 'Ficcin Juvenil', 'Schools -- Fiction']"
0373760086,"Loner And The Lady (Debut Author) (Silhouette Desire, No 1008)",Eileen Wilks,1996,Silhouette,http://images.amazon.com/images/P/0373760086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373760086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373760086.01.LZZZZZZZ.jpg,,186,[],"['General', 'Romance', 'Fiction']"
